"Threshold";"TP";"FP";"FN";"TN";"Accuracy";"Precision";"Recall";"Fall-out";"F1 score";"MCC"
1,000000;0;0;71;71;0,500000;0,000000;0,000000;0,000000;0,000000;0,000000
0,001261;1;0;70;71;0,507042;1,000000;0,014085;0,000000;0,027778;0,084215
0,001185;5;0;66;71;0,535211;1,000000;0,070423;0,000000;0,131579;0,191040
0,001121;6;0;65;71;0,542254;1,000000;0,084507;0,000000;0,155844;0,210042
0,000961;7;0;64;71;0,549296;1,000000;0,098592;0,000000;0,179487;0,227710
0,000946;8;0;63;71;0,556338;1,000000;0,112676;0,000000;0,202532;0,244339
0,000906;9;0;62;71;0,563380;1,000000;0,126761;0,000000;0,225000;0,260133
0,000858;10;0;61;71;0,570423;1,000000;0,140845;0,000000;0,246914;0,275241
0,000846;13;0;58;71;0,591549;1,000000;0,183099;0,000000;0,309524;0,317451
0,000788;14;0;57;71;0,598592;1,000000;0,197183;0,000000;0,329412;0,330719
0,000705;16;0;55;71;0,612676;1,000000;0,225352;0,000000;0,367816;0,356348
0,000656;19;1;52;70;0,626761;0,950000;0,267606;0,014085;0,417582;0,364399
0,000644;20;1;51;70;0,633803;0,952381;0,281690;0,014085;0,434783;0,376922
0,000577;25;7;46;64;0,626761;0,781250;0,352113;0,098592;0,485437;0,303390
0,000569;25;8;46;63;0,619718;0,757576;0,352113;0,112676;0,480769;0,283451
0,000539;26;8;45;63;0,626761;0,764706;0,366197;0,112676;0,495238;0,297044
0,000502;26;9;45;62;0,619718;0,742857;0,366197;0,126761;0,490566;0,277794
0,000500;28;9;43;62;0,633803;0,756757;0,394366;0,126761;0,518519;0,304830
0,000468;32;15;39;56;0,619718;0,680851;0,450704;0,211268;0,542373;0,254412
0,000466;33;15;38;56;0,626761;0,687500;0,464789;0,211268;0,554622;0,267971
0,000461;34;16;37;55;0,626761;0,680000;0,478873;0,225352;0,561983;0,265396
0,000441;34;17;37;54;0,619718;0,666667;0,478873;0,239437;0,557377;0,249542
0,000412;46;25;25;46;0,647887;0,647887;0,647887;0,352113;0,647887;0,295775
0,000410;52;25;19;46;0,690141;0,675325;0,732394;0,352113;0,702703;0,381647
0,000358;52;26;19;45;0,683099;0,666667;0,732394;0,366197;0,697987;0,367990
0,000333;55;30;16;41;0,676056;0,647059;0,774648;0,422535;0,705128;0,359164
0,000315;55;34;16;37;0,647887;0,617978;0,774648;0,478873;0,687500;0,305764
0,000314;57;34;14;37;0,661972;0,626374;0,802817;0,478873;0,703704;0,337615
0,000293;69;56;2;15;0,591549;0,552000;0,971831;0,788732;0,704082;0,282010
0,000254;69;57;2;14;0,584507;0,547619;0,971831;0,802817;0,700508;0,267261
0,000224;71;71;0;0;0,500000;0,500000;1,000000;1,000000;0,666667;0,000000
