Threshold;FPR;TPR
1,000000;0,000000;0,000000
0,001260;0,000000;0,014084
0,001184;0,000000;0,070422
0,001121;0,000000;0,084507
0,000961;0,000000;0,098591
0,000946;0,000000;0,112676
0,000906;0,000000;0,126760
0,000857;0,000000;0,140845
0,000846;0,000000;0,183098
0,000787;0,000000;0,197183
0,000704;0,000000;0,225352
0,000655;0,014084;0,267605
0,000643;0,014084;0,281690
0,000577;0,098591;0,352112
0,000568;0,112676;0,352112
0,000538;0,112676;0,366197
0,000501;0,126760;0,366197
0,000500;0,126760;0,394366
0,000468;0,211267;0,450704
0,000465;0,211267;0,464788
0,000460;0,225352;0,478873
0,000441;0,239436;0,478873
0,000412;0,352112;0,647887
0,000409;0,352112;0,732394
0,000358;0,366197;0,732394
0,000332;0,422535;0,774647
0,000315;0,478873;0,774647
0,000313;0,478873;0,802816
0,000292;0,788732;0,971830
0,000254;0,802816;0,971830
0,000223;1,000000;1,000000
