Threshold;FPR;TPR
0,001260;0,000000;0,014084
0,001177;0,000000;0,070422
0,001115;0,000000;0,084507
0,000959;0,000000;0,098591
0,000939;0,000000;0,112676
0,000897;0,000000;0,126760
0,000856;0,000000;0,140845
0,000845;0,000000;0,183098
0,000783;0,000000;0,197183
0,000700;0,000000;0,225352
0,000648;0,014084;0,267605
0,000638;0,014084;0,281690
0,000576;0,098591;0,352112
0,000565;0,112676;0,352112
0,000534;0,112676;0,366197
0,000493;0,126760;0,394366
0,000462;0,211267;0,464788
0,000451;0,225352;0,478873
0,000431;0,239436;0,478873
0,000410;0,352112;0,647887
0,000400;0,352112;0,732394
0,000348;0,366197;0,732394
0,000327;0,422535;0,774647
0,000306;0,478873;0,802816
0,000286;0,788732;0,971830
0,000244;0,802816;0,971830
0,000213;1,000000;1,000000
