"content","timestamp","post__pagename","post__timestamp","post__message","target__display","target__headline","target__url","target__description","target__image__src","target__image__label"
"""Svarene har udmøntet sig i en liste fra det bedste til det dårligste supermarked, og her skraber Fakta, Netto og Bilka bunden i undersøgelsen af Loyalty Group."" #StopClickBait","08-11-2018 22:17","B.T.","07-11-2018 16:50","Hvad synes du - hvilken kæde er den dårligste at handle i? 🤔","bt.dk","Kundernes dom: Her er Danmarks dårligste supermarked","https://www.bt.dk/forbrug/her-er-dommen-fakta-er-danmarks-daarligste-supermarked","Læs mere her.","images/image_0.jpg","Billedet indeholder sandsynligvis: en eller flere personer, folk, der står, plante, mad og friluftsliv"
"""En hyggeaften med skolekammerater endte i en dyb tragedie, da en 14-årig dreng blev så fuld, at han faldt ned på skinnerne ved Dyssegård Station og blev dræbt af et S-tog 8. september i år."" #StopClickBait","05-11-2018 18:25","Ekstra Bladet","05-11-2018 16:51","En hyggeaften med skolekammerater endte i en dyb tragedie for en 14-årig ved Dyssegård Station i Vangede.","ekstrabladet.dk","Derfor blev 14-årig dræbt af S-toget","https://ekstrabladet.dk/112/derfor-blev-dreng-draebt-af-s-toget/7383336","","images/image_1.jpg","Billedet indeholder sandsynligvis: nat, bil og friluftsliv"
"23 år, jomfru og stolt af det. #StopClickBait","02-11-2018 19:04","Ekstra Bladet","02-11-2018 17:19","Den havde man ikke lige set komme! 😮","ekstrabladet.dk","Sigmund fra 'X Factor' afslører vild sex-hemmelighed","https://ekstrabladet.dk/sex_og_samliv/kys-og-kaerlighed/ny-kondomkampagne-knald-for-afrika/7380366","Læs mere her","images/image_2.jpg","Billedet indeholder sandsynligvis: en eller flere personer, selfie og nærbillede"
"""Kuglerne er magen til de ellers populære Chili Klaus-chokoladekugler, der indeholder massive mængder af stærk chili."" #StopClickBait","01-11-2018 19:01","B.T.","01-11-2018 17:48","Drengene fik sig noget af en overraskelse, da de satte tænderne i det slik, de havde raslet sig til i løbet af aftenen 🌶🔥","bt.dk","Ondskabsfuld halloween-spøg: 'Ubegribeligt, at man finder det sjovt!'","https://www.bt.dk/samfund/ondskabsfuld-halloween-spoeg-ubegribeligt-at-man-finder-det-sjovt","Læs mere her.","images/image_3.jpg","Billedet indeholder sandsynligvis: mad"
"""'Har været hjemme hele dagen og afventer en pakke. Får mail med besked om, at I forgæves har forsøgt at aflevere en pakke. Hvad i Himlen sker der? Jeg er hjemme!!!!!!'"" #StopClickBait","31-10-2018 21:48","B.T.","31-10-2018 08:45","Har du oplevet det samme? 😲","bt.dk","Flere har besynderlig oplevelse med PostNord: 'Hvad i himlen sker der? Jeg er hjemme!'","https://www.bt.dk/samfund/flere-oplever-at-postnord-laegger-sedler-i-stedet-for-pakker-hvad-i-himlen-sker","Læs mere her.","images/image_4.jpg","Ingen automatisk alternativ tekst tilgængelig."
"""Foruden motorvej E45 i Østjylland har kolde vejbaner også ført til uheld på Midtjyske Motorvej."" #StopClickBait","28-10-2018 23:45","Ekstra Bladet","28-10-2018 21:35","Har  du fået de rigtige dæk på dytten?","ekstrabladet.dk","Nu rammer frosten: Flere uheld på dansk motorvej","https://ekstrabladet.dk/nyheder/samfund/nu-rammer-frosten-flere-uheld-paa-dansk-motorvej/7372530","Læs mere her","images/image_5.jpg","Billedet indeholder sandsynligvis: bil og friluftsliv"
"""Den Dominikanske Republik."" #StopClickBait","27-10-2018 22:46","Ekstra Bladet","27-10-2018 19:59","Der er en dyster bagside til det eksotiske ferieparadis.","ekstrabladet.dk","'Ondskaben i paradiset': Her flokkes turister til for sex med børn","https://ekstrabladet.dk/ferie/ondskaben-i-paradiset-her-flokkes-turister-til-for-sex-med-boern/7366369","Læs mere her","images/image_6.jpg","Billedet indeholder sandsynligvis: en eller flere personer, ocean, strand, friluftsliv, natur og vand"
"""Lokationen, som Geggo og Cengiz beslutter sig for, er Næsbyholm Slot, der ligger i Glumsø på Sjælland. Og noget kan tyde på, at Cengiz’ budget på de 250.000-300.0000 kroner godt kan ende med at blive overskredet."" #StopClickBait","27-10-2018 20:57","B.T. Underholdning","27-10-2018 11:58","Hvor ville du allerhelst holde dit bryllup henne? 💘💍","bt.dk","Det koster det at holde bryllup på Geggo og Cengiz’ slot","https://www.bt.dk/kendte/det-koster-det-at-holde-bryllup-paa-geggo-og-cengiz-slot","","images/image_7.jpg","Billedet indeholder sandsynligvis: en eller flere personer, skæg og nærbillede"
"""Det er især i den nordlige halvdel af Jylland, man kan få snevejr i aften og i nat."" #StopClickBait","27-10-2018 20:54","TV 2 NYHEDERNE","27-10-2018 20:23","Håber du på sne?","vejr.tv2.dk","Se prognosen - her kan vinterens første sne falde","http://vejr.tv2.dk/2018-10-27-se-prognosen-her-kan-vinterens-foerste-sne-falde","","images/image_8.jpg","Billedet indeholder sandsynligvis: nat, bil og friluftsliv"
"""Winnie Harlow og rapperen Wiz Khalifa viser for første gang deres kærlighed frem"" #StopClickBait","27-10-2018 20:48","Ekstra Bladet","27-10-2018 19:31","Kærlighed ❤️","ekstrabladet.dk","Plettet model med kendt kæreste","https://ekstrabladet.dk/flash/udlandkendte/plettet-model-med-kendt-kaereste/7371468","","images/image_9.jpg","Billedet indeholder sandsynligvis: en eller flere personer og nærbillede"
